bd_upazila_distance_to_coast
centroid_lat,centroid_lon,distance_km,upazila
23.01760259277160,89.42059794248020,66.51023561068110,Abhaynagar
23.770166889603200,90.3533359093861,23.20690060595170,Adabor
24.799239845883700,89.05946394091470,179.02956339181000,Adamdighi
25.945003022897100,89.3694349545382,276.345214926628,Aditmari
22.967840387601900,90.1407594105487,23.019917234320100,Agailjhara
24.55330205041690,91.28416236844520,110.52663340872900,Ajmiriganj
23.83858116516200,91.19514669935640,50.464538134855200,Akhaura
24.93404206932610,89.0419267106988,195.5388944677950,Akkelpur
23.72942424927100,88.90818202891260,127.83230051458600,Alamdanga
23.29691940959380,89.66984609069530,54.636397888257200,Alfadanga
21.600000987203400,92.38471427463000,19.27790897787890,Alikadam
22.074901774515700,90.20254897325290,0.0,Amtali
22.20177328186240,91.88137771719180,0.0,Anowara
23.76090062921140,90.66875899155950,8.61930973849725,Araihazar
24.01579020503620,91.01834154714800,54.003170080309800,Ashuganj
22.51913118139010,89.187407344862,21.642819545561300,Assasuni
24.10825735147870,89.28200360667480,106.44988433583900,Atgharia
24.791343580286200,90.87607619334070,126.80068540767200,Atpara
24.625239572340200,88.98788753845300,167.0569924087220,Atrai
26.249535175423900,88.4263984883222,345.823016906092,Atwari
24.32300783029370,91.1215929504701,79.5689339040506,Austagram
22.82348069271110,90.31461092335310,0.0,Babuganj
24.965857763686000,88.9434192194203,203.11351722509000,Badalgachhi
25.665964624510600,89.05631979629230,256.69385051057100,Badarganj
23.798005973799200,90.44893648554560,19.728032781127800,Badda
24.312244267599800,88.94674862440560,153.66861824480700,Bagati Para
22.677541799148900,89.76329430070690,19.080419196024100,Bagerhat Sadar
24.200461120544800,88.8283768392257,157.0249735714390,Bagha
23.372857121196600,92.22951513222560,67.51167069703480,Baghai Chhari
23.242310565480900,89.33563844963650,86.96870470909500,Bagher Para
24.591102122419800,88.81077047120250,177.59396992185800,Baghmara
24.360568386588100,91.54649242674080,112.20213264983700,Bahubal
24.2245114432298,90.95108158253620,69.3882558807467,Bajitpur
22.34704892429480,91.85557669066640,0.0,Bakalia
22.55301359627460,90.38459547074010,0.0,Bakerganj
25.2147578155469,89.85259880370990,178.78634868531200,Bakshiganj
24.69542635523290,91.77333341938860,151.86677567418000,Balaganj
23.649631708073100,89.5506061021266,61.634292236179300,Balia Kandi
26.108443963974000,88.26373592480980,342.668179557534,Baliadangi
22.272396579559200,90.05796017941360,4.737700271174670,Bamna
22.811735596293400,90.12855118070850,16.722298671025100,Banari Para
23.78012176330430,90.80701403805570,15.258928828480900,Banchharampur
23.637666413604900,90.53777069709430,0.0,Bandar
22.170870140892300,92.2183006458013,25.918650778337300,Bandarban Sadar
23.718010579130200,90.4050423835812,15.899859378490500,Bangshal
24.494699196898300,91.36540790754970,104.73856014248500,Baniachong
22.015819882264800,91.93979145238520,0.0,Banshkhali
24.273690293445800,89.14768146442870,133.88107017927000,Baraigram
22.134525753736500,90.10891712748880,0.0,Barguna Sadar
24.919531093889700,90.8853425568081,138.63908823607400,Barhatta
22.713384777487600,90.39420025068570,0.0,Barisal Sadar (Kotwali)
22.84522493131500,92.34459095339750,44.753529424754800,Barkal
24.708150234355700,92.17557865797120,179.58551572006000,Barlekha
23.355692245295600,91.03942220636640,27.35720142767420,Barura
24.231141883677900,90.03940628196060,74.4877197899668,Basail
22.714189073776000,89.51607747064890,31.742126591721,Batiaghata
22.4353440588917,90.5390114366358,0.0,Bauphal
22.419241385700000,91.80784998542020,3.4978829022576900,Bayejid Bostami
24.848881953100800,92.15888774587120,193.68447397305700,Beani Bazar
22.930638649145900,91.09526481266950,17.230025359918800,Begumganj
24.098518797006500,90.84933609712040,53.28608576240330,Belabo
22.302398552952600,92.48540733852790,38.300118944086200,Belai Chhari
24.29516279454940,89.70208065288140,100.42453070779800,Belkuchi
23.9422585759764,89.65600656899990,66.7308975259219,Bera
22.34711937441150,90.14806493096260,5.200827747984850,Betagi
24.097384173014900,90.98154957431600,58.57508290954930,Bhairab
24.381699756769000,90.35355088270610,77.6534527596191,Bhaluka
22.45418925886200,90.02155193816840,0.0,Bhandaria
23.386742626544000,90.0097701127248,17.702493819833900,Bhanga
24.239253959906400,89.39272581513630,114.0087232066710,Bhangura
23.238348073757400,90.51389085176830,0.0,Bhedarganj
24.056880899834200,88.98164429688790,134.9662320253060,Bheramara
22.688712304274200,90.61512253388060,0.0,Bhola Sadar
24.896231211675400,88.20970404074610,252.74592082604300,Bholahat
